RUN	bank.CreateAccountSimulation	createaccountsimulation	1593599673367	 	3.3.1
USER	Create account	175	START	1593599680377	1593599680377
USER	Create account	174	START	1593599680377	1593599680377
USER	Create account	176	START	1593599680377	1593599680377
REQUEST	33		Create new account	1593599679898	1593599680382	OK	 
USER	Create account	33	END	1593599679897	1593599680383
USER	Create account	177	START	1593599680388	1593599680388
USER	Create account	178	START	1593599680388	1593599680388
USER	Create account	179	START	1593599680388	1593599680388
REQUEST	34		Create new account	1593599679909	1593599680393	OK	 
USER	Create account	34	END	1593599679908	1593599680394
USER	Create account	180	START	1593599680398	1593599680398
USER	Create account	181	START	1593599680398	1593599680398
USER	Create account	182	START	1593599680398	1593599680398
USER	Create account	184	START	1593599680409	1593599680409
USER	Create account	185	START	1593599680409	1593599680409
USER	Create account	183	START	1593599680409	1593599680409
REQUEST	37		Create new account	1593599679920	1593599680409	OK	 
USER	Create account	37	END	1593599679918	1593599680410
REQUEST	35		Create new account	1593599679909	1593599680410	OK	 
USER	Create account	35	END	1593599679908	1593599680412
USER	Create account	186	START	1593599680414	1593599680414
USER	Create account	188	START	1593599680414	1593599680414
USER	Create account	187	START	1593599680414	1593599680414
USER	Create account	190	START	1593599680424	1593599680424
USER	Create account	191	START	1593599680424	1593599680424
USER	Create account	189	START	1593599680424	1593599680424
REQUEST	38		Create new account	1593599679919	1593599680425	OK	 
USER	Create account	38	END	1593599679919	1593599680426
USER	Create account	193	START	1593599680434	1593599680434
USER	Create account	194	START	1593599680434	1593599680434
USER	Create account	192	START	1593599680434	1593599680434
REQUEST	40		Create new account	1593599679931	1593599680435	OK	 
USER	Create account	40	END	1593599679929	1593599680436
USER	Create account	196	START	1593599680445	1593599680445
USER	Create account	195	START	1593599680445	1593599680445
USER	Create account	197	START	1593599680445	1593599680445
REQUEST	42		Create new account	1593599679935	1593599680450	OK	 
USER	Create account	42	END	1593599679934	1593599680451
USER	Create account	200	START	1593599680456	1593599680456
USER	Create account	198	START	1593599680456	1593599680456
USER	Create account	199	START	1593599680456	1593599680456
REQUEST	36		Create new account	1593599679920	1593599680456	OK	 
USER	Create account	36	END	1593599679918	1593599680458
USER	Create account	203	START	1593599680467	1593599680467
REQUEST	44		Create new account	1593599679936	1593599680472	OK	 
USER	Create account	44	END	1593599679934	1593599680473
USER	Create account	204	START	1593599680477	1593599680477
USER	Create account	205	START	1593599680477	1593599680477
USER	Create account	206	START	1593599680477	1593599680477
REQUEST	41		Create new account	1593599679930	1593599680487	OK	 
USER	Create account	41	END	1593599679929	1593599680488
USER	Create account	208	START	1593599680488	1593599680488
USER	Create account	209	START	1593599680488	1593599680488
USER	Create account	207	START	1593599680488	1593599680488
USER	Create account	201	START	1593599680467	1593599680467
USER	Create account	202	START	1593599680467	1593599680467
REQUEST	45		Create new account	1593599679946	1593599680498	OK	 
USER	Create account	45	END	1593599679945	1593599680498
USER	Create account	211	START	1593599680498	1593599680498
USER	Create account	212	START	1593599680498	1593599680498
USER	Create account	210	START	1593599680498	1593599680498
REQUEST	39		Create new account	1593599679932	1593599680499	OK	 
USER	Create account	39	END	1593599679929	1593599680500
USER	Create account	213	START	1593599680509	1593599680509
USER	Create account	215	START	1593599680509	1593599680509
USER	Create account	214	START	1593599680509	1593599680509
USER	Create account	216	START	1593599680519	1593599680519
USER	Create account	217	START	1593599680519	1593599680519
USER	Create account	218	START	1593599680519	1593599680519
USER	Create account	221	START	1593599680529	1593599680529
USER	Create account	219	START	1593599680529	1593599680529
USER	Create account	220	START	1593599680529	1593599680529
USER	Create account	223	START	1593599680534	1593599680534
USER	Create account	222	START	1593599680534	1593599680534
USER	Create account	224	START	1593599680534	1593599680534
USER	Create account	225	START	1593599680544	1593599680544
USER	Create account	227	START	1593599680544	1593599680544
USER	Create account	226	START	1593599680544	1593599680544
USER	Create account	230	START	1593599680554	1593599680554
USER	Create account	228	START	1593599680554	1593599680554
USER	Create account	229	START	1593599680554	1593599680554
REQUEST	46		Create new account	1593599679946	1593599680554	OK	 
USER	Create account	46	END	1593599679945	1593599680555
USER	Create account	232	START	1593599680565	1593599680565
USER	Create account	231	START	1593599680565	1593599680565
USER	Create account	233	START	1593599680565	1593599680565
USER	Create account	236	START	1593599680576	1593599680576
USER	Create account	234	START	1593599680576	1593599680576
USER	Create account	235	START	1593599680576	1593599680576
USER	Create account	238	START	1593599680586	1593599680586
USER	Create account	239	START	1593599680586	1593599680586
USER	Create account	237	START	1593599680586	1593599680586
REQUEST	50		Create new account	1593599679958	1593599680590	OK	 
USER	Create account	50	END	1593599679956	1593599680590
USER	Create account	241	START	1593599680596	1593599680596
USER	Create account	240	START	1593599680596	1593599680596
USER	Create account	242	START	1593599680596	1593599680596
REQUEST	43		Create new account	1593599679935	1593599680599	OK	 
USER	Create account	43	END	1593599679934	1593599680599
REQUEST	48		Create new account	1593599679957	1593599680602	OK	 
USER	Create account	48	END	1593599679956	1593599680603
USER	Create account	245	START	1593599680607	1593599680607
USER	Create account	243	START	1593599680607	1593599680607
USER	Create account	244	START	1593599680607	1593599680607
USER	Create account	248	START	1593599680617	1593599680617
USER	Create account	246	START	1593599680617	1593599680617
USER	Create account	247	START	1593599680617	1593599680617
USER	Create account	251	START	1593599680628	1593599680628
USER	Create account	249	START	1593599680628	1593599680628
USER	Create account	250	START	1593599680628	1593599680628
REQUEST	47		Create new account	1593599679947	1593599680632	OK	 
USER	Create account	47	END	1593599679945	1593599680633
