RUN	bank.TransactionsSimulation	transactionssimulation	1593600116115	 	3.3.1
USER	Transactions	228	START	1593600124016	1593600124016
USER	Transactions	106	END	1593600123208	1593600124017
REQUEST	108		Transaction	1593600123220	1593600124023	OK	 
USER	Transactions	108	END	1593600123219	1593600124023
USER	Transactions	229	START	1593600124026	1593600124026
REQUEST	107		Transaction	1593600123220	1593600124031	OK	 
USER	Transactions	107	END	1593600123219	1593600124031
USER	Transactions	230	START	1593600124037	1593600124037
USER	Transactions	231	START	1593600124037	1593600124037
USER	Transactions	232	START	1593600124047	1593600124047
REQUEST	109		Transaction	1593600123225	1593600124054	OK	 
USER	Transactions	109	END	1593600123224	1593600124054
USER	Transactions	234	START	1593600124058	1593600124058
USER	Transactions	233	START	1593600124058	1593600124058
REQUEST	110		Transaction	1593600123235	1593600124060	OK	 
USER	Transactions	110	END	1593600123234	1593600124063
USER	Transactions	235	START	1593600124068	1593600124068
REQUEST	111		Transaction	1593600123236	1593600124073	OK	 
USER	Transactions	111	END	1593600123234	1593600124074
REQUEST	112		Transaction	1593600123259	1593600124076	OK	 
USER	Transactions	112	END	1593600123258	1593600124076
USER	Transactions	236	START	1593600124078	1593600124078
USER	Transactions	237	START	1593600124078	1593600124078
USER	Transactions	238	START	1593600124088	1593600124088
USER	Transactions	240	START	1593600124099	1593600124099
USER	Transactions	239	START	1593600124099	1593600124099
REQUEST	114		Transaction	1593600123259	1593600124100	OK	 
USER	Transactions	114	END	1593600123258	1593600124101
USER	Transactions	241	START	1593600124104	1593600124104
REQUEST	113		Transaction	1593600123258	1593600124109	OK	 
USER	Transactions	113	END	1593600123258	1593600124109
USER	Transactions	243	START	1593600124114	1593600124114
USER	Transactions	242	START	1593600124114	1593600124114
USER	Transactions	244	START	1593600124124	1593600124124
REQUEST	117		Transaction	1593600123280	1593600124125	OK	 
USER	Transactions	117	END	1593600123279	1593600124126
REQUEST	115		Transaction	1593600123269	1593600124127	OK	 
USER	Transactions	115	END	1593600123268	1593600124127
USER	Transactions	246	START	1593600124135	1593600124135
USER	Transactions	245	START	1593600124135	1593600124135
USER	Transactions	247	START	1593600124145	1593600124145
REQUEST	116		Transaction	1593600123280	1593600124146	OK	 
USER	Transactions	116	END	1593600123279	1593600124147
REQUEST	118		Transaction	1593600123284	1593600124150	OK	 
USER	Transactions	118	END	1593600123284	1593600124151
USER	Transactions	248	START	1593600124156	1593600124156
USER	Transactions	249	START	1593600124156	1593600124156
REQUEST	119		Transaction	1593600123295	1593600124165	OK	 
REQUEST	120		Transaction	1593600123296	1593600124165	OK	 
USER	Transactions	120	END	1593600123294	1593600124166
USER	Transactions	119	END	1593600123294	1593600124166
USER	Transactions	250	START	1593600124166	1593600124166
USER	Transactions	251	START	1593600124177	1593600124177
USER	Transactions	252	START	1593600124177	1593600124177
USER	Transactions	253	START	1593600124187	1593600124187
REQUEST	122		Transaction	1593600123317	1593600124192	OK	 
REQUEST	121		Transaction	1593600123306	1593600124192	OK	 
USER	Transactions	122	END	1593600123316	1593600124193
USER	Transactions	121	END	1593600123305	1593600124193
USER	Transactions	254	START	1593600124198	1593600124198
USER	Transactions	256	START	1593600124208	1593600124208
REQUEST	124		Transaction	1593600123327	1593600124212	OK	 
USER	Transactions	124	END	1593600123327	1593600124213
USER	Transactions	255	START	1593600124198	1593600124198
REQUEST	123		Transaction	1593600123317	1593600124217	OK	 
USER	Transactions	123	END	1593600123316	1593600124217
USER	Transactions	258	START	1593600124219	1593600124219
USER	Transactions	257	START	1593600124219	1593600124219
USER	Transactions	259	START	1593600124224	1593600124224
REQUEST	125		Transaction	1593600123339	1593600124236	OK	 
USER	Transactions	125	END	1593600123337	1593600124237
REQUEST	126		Transaction	1593600123339	1593600124246	OK	 
USER	Transactions	126	END	1593600123337	1593600124247
USER	Transactions	260	START	1593600124234	1593600124234
USER	Transactions	263	START	1593600124255	1593600124255
USER	Transactions	264	START	1593600124255	1593600124255
REQUEST	129		Transaction	1593600123360	1593600124257	OK	 
USER	Transactions	129	END	1593600123358	1593600124258
REQUEST	127		Transaction	1593600123349	1593600124264	OK	 
USER	Transactions	127	END	1593600123348	1593600124265
USER	Transactions	265	START	1593600124265	1593600124265
USER	Transactions	262	START	1593600124244	1593600124244
USER	Transactions	267	START	1593600124276	1593600124276
USER	Transactions	266	START	1593600124276	1593600124276
REQUEST	128		Transaction	1593600123360	1593600124280	OK	 
USER	Transactions	128	END	1593600123358	1593600124281
USER	Transactions	261	START	1593600124234	1593600124234
USER	Transactions	268	START	1593600124287	1593600124287
REQUEST	131		Transaction	1593600123375	1593600124291	OK	 
USER	Transactions	131	END	1593600123374	1593600124292
USER	Transactions	270	START	1593600124297	1593600124297
USER	Transactions	269	START	1593600124297	1593600124297
REQUEST	132		Transaction	1593600123374	1593600124301	OK	 
USER	Transactions	132	END	1593600123374	1593600124301
REQUEST	133		Transaction	1593600123384	1593600124305	OK	 
USER	Transactions	133	END	1593600123384	1593600124305
USER	Transactions	271	START	1593600124308	1593600124308
USER	Transactions	272	START	1593600124318	1593600124318
USER	Transactions	273	START	1593600124318	1593600124318
USER	Transactions	274	START	1593600124329	1593600124329
REQUEST	130		Transaction	1593600123370	1593600124331	OK	 
USER	Transactions	130	END	1593600123369	1593600124332
REQUEST	134		Transaction	1593600123395	1593600124334	OK	 
USER	Transactions	134	END	1593600123394	1593600124335
USER	Transactions	275	START	1593600124339	1593600124339
USER	Transactions	276	START	1593600124339	1593600124339
