RUN	bank.TotalLoadSimulation	totalloadsimulation	1593599850915	 	3.3.1
REQUEST	248		Create new account	1593599871104	1593599878007	OK	 
USER	Bank Load	248	END	1593599862058	1593599878008
REQUEST	689		Get Balance	1593599870876	1593599878021	OK	 
REQUEST	249		Create new account	1593599871130	1593599878025	OK	 
USER	Bank Load	249	END	1593599862073	1593599878026
REQUEST	690		Get Balance	1593599870897	1593599878046	OK	 
REQUEST	434		Transaction	1593599871141	1593599878052	OK	 
REQUEST	691		Get Balance	1593599870918	1593599878067	OK	 
REQUEST	435		Transaction	1593599871167	1593599878077	OK	 
REQUEST	692		Get Balance	1593599870938	1593599878081	OK	 
REQUEST	250		Create new account	1593599871172	1593599878104	OK	 
REQUEST	693		Get Balance	1593599870953	1593599878111	OK	 
USER	Bank Load	250	END	1593599862094	1593599878119
REQUEST	251		Create new account	1593599871184	1593599878125	OK	 
USER	Bank Load	251	END	1593599862115	1593599878125
REQUEST	252		Create new account	1593599871214	1593599878130	OK	 
USER	Bank Load	252	END	1593599862136	1593599878130
REQUEST	253		Create new account	1593599871217	1593599878156	OK	 
USER	Bank Load	253	END	1593599862157	1593599878157
REQUEST	436		Transaction	1593599871223	1593599878172	OK	 
REQUEST	694		Get Balance	1593599870975	1593599878176	OK	 
REQUEST	437		Transaction	1593599871240	1593599878189	OK	 
REQUEST	695		Get Balance	1593599870996	1593599878193	OK	 
REQUEST	696		Get Balance	1593599871017	1593599878213	OK	 
REQUEST	254		Create new account	1593599871259	1593599878222	OK	 
USER	Bank Load	254	END	1593599862173	1593599878222
REQUEST	697		Get Balance	1593599871038	1593599878229	OK	 
REQUEST	438		Transaction	1593599871281	1593599878248	OK	 
REQUEST	698		Get Balance	1593599871053	1593599878253	OK	 
REQUEST	439		Transaction	1593599871309	1593599878274	OK	 
REQUEST	255		Create new account	1593599871309	1593599878274	OK	 
USER	Bank Load	255	END	1593599862194	1593599878275
REQUEST	700		Get Balance	1593599871096	1593599878300	OK	 
REQUEST	440		Transaction	1593599871321	1593599878308	OK	 
REQUEST	699		Get Balance	1593599871075	1593599878325	OK	 
REQUEST	256		Create new account	1593599871353	1593599878335	OK	 
USER	Bank Load	256	END	1593599862214	1593599878336
REQUEST	441		Transaction	1593599871358	1593599878349	OK	 
REQUEST	442		Transaction	1593599871356	1593599878355	OK	 
REQUEST	701		Get Balance	1593599871116	1593599878365	OK	 
REQUEST	702		Get Balance	1593599871138	1593599878373	OK	 
REQUEST	443		Transaction	1593599871394	1593599878399	OK	 
REQUEST	703		Get Balance	1593599871159	1593599878401	OK	 
REQUEST	258		Create new account	1593599871399	1593599878412	OK	 
USER	Bank Load	258	END	1593599862256	1593599878413
REQUEST	257		Create new account	1593599871410	1593599878426	OK	 
USER	Bank Load	257	END	1593599862235	1593599878426
REQUEST	704		Get Balance	1593599871173	1593599878432	OK	 
REQUEST	705		Get Balance	1593599871195	1593599878451	OK	 
REQUEST	444		Transaction	1593599871433	1593599878466	OK	 
REQUEST	445		Transaction	1593599871447	1593599878471	OK	 
REQUEST	446		Transaction	1593599871465	1593599878482	OK	 
REQUEST	706		Get Balance	1593599871216	1593599878492	OK	 
REQUEST	707		Get Balance	1593599871236	1593599878501	OK	 
REQUEST	259		Create new account	1593599871466	1593599878515	OK	 
USER	Bank Load	259	END	1593599862277	1593599878516
REQUEST	260		Create new account	1593599871490	1593599878535	OK	 
USER	Bank Load	260	END	1593599862293	1593599878535
REQUEST	448		Transaction	1593599871500	1593599878547	OK	 
REQUEST	261		Create new account	1593599871492	1593599878552	OK	 
USER	Bank Load	261	END	1593599862313	1593599878553
REQUEST	708		Get Balance	1593599871257	1593599878567	OK	 
REQUEST	709		Get Balance	1593599871279	1593599878583	OK	 
REQUEST	262		Create new account	1593599871537	1593599878596	OK	 
USER	Bank Load	262	END	1593599862335	1593599878597
REQUEST	447		Transaction	1593599871509	1593599878600	OK	 
REQUEST	710		Get Balance	1593599871293	1593599878619	OK	 
REQUEST	449		Transaction	1593599871542	1593599878619	OK	 
REQUEST	711		Get Balance	1593599871314	1593599878637	OK	 
REQUEST	263		Create new account	1593599871551	1593599878644	OK	 
USER	Bank Load	263	END	1593599862356	1593599878644
REQUEST	712		Get Balance	1593599871334	1593599878654	OK	 
REQUEST	451		Transaction	1593599871575	1593599878669	OK	 
REQUEST	713		Get Balance	1593599871355	1593599878691	OK	 
REQUEST	264		Create new account	1593599871608	1593599878701	OK	 
USER	Bank Load	264	END	1593599862378	1593599878702
REQUEST	450		Transaction	1593599871585	1593599878705	OK	 
REQUEST	452		Transaction	1593599871613	1593599878730	OK	 
REQUEST	714		Get Balance	1593599871377	1593599878733	OK	 
REQUEST	715		Get Balance	1593599871398	1593599878744	OK	 
REQUEST	453		Transaction	1593599871652	1593599878761	OK	 
REQUEST	716		Get Balance	1593599871413	1593599878765	OK	 
REQUEST	717		Get Balance	1593599871435	1593599878774	OK	 
REQUEST	265		Create new account	1593599871699	1593599878798	OK	 
USER	Bank Load	265	END	1593599862393	1593599878799
REQUEST	718		Get Balance	1593599871457	1593599878809	OK	 
REQUEST	266		Create new account	1593599871721	1593599878824	OK	 
USER	Bank Load	266	END	1593599862414	1593599878824
REQUEST	454		Transaction	1593599871714	1593599878825	OK	 
REQUEST	719		Get Balance	1593599871478	1593599878890	OK	 
REQUEST	720		Get Balance	1593599871493	1593599878893	OK	 
REQUEST	721		Get Balance	1593599871514	1593599878919	OK	 
REQUEST	267		Create new account	1593599871769	1593599878928	OK	 
USER	Bank Load	267	END	1593599862435	1593599878929
REQUEST	722		Get Balance	1593599871535	1593599878952	OK	 
REQUEST	723		Get Balance	1593599871556	1593599879002	OK	 
REQUEST	456		Transaction	1593599871790	1593599879011	OK	 
REQUEST	455		Transaction	1593599871788	1593599879026	OK	 
REQUEST	724		Get Balance	1593599871576	1593599879044	OK	 
REQUEST	725		Get Balance	1593599871597	1593599879086	OK	 
REQUEST	268		Create new account	1593599871854	1593599879090	OK	 
USER	Bank Load	268	END	1593599862456	1593599879091
REQUEST	457		Transaction	1593599871859	1593599879109	OK	 
REQUEST	726		Get Balance	1593599871618	1593599879116	OK	 
REQUEST	727		Get Balance	1593599871634	1593599879131	OK	 
REQUEST	269		Create new account	1593599871890	1593599879179	OK	 
USER	Bank Load	269	END	1593599862477	1593599879180
REQUEST	458		Transaction	1593599871884	1593599879183	OK	 
REQUEST	728		Get Balance	1593599871655	1593599879194	OK	 
REQUEST	459		Transaction	1593599871899	1593599879215	OK	 
REQUEST	729		Get Balance	1593599871676	1593599879249	OK	 
REQUEST	270		Create new account	1593599871909	1593599879272	OK	 
USER	Bank Load	270	END	1593599862493	1593599879273
REQUEST	730		Get Balance	1593599871697	1593599879295	OK	 
REQUEST	460		Transaction	1593599871934	1593599879303	OK	 
REQUEST	271		Create new account	1593599871955	1593599879305	OK	 
USER	Bank Load	271	END	1593599862514	1593599879306
REQUEST	731		Get Balance	1593599871719	1593599879347	OK	 
REQUEST	732		Get Balance	1593599871733	1593599879371	OK	 
REQUEST	461		Transaction	1593599871977	1593599879383	OK	 
REQUEST	272		Create new account	1593599871989	1593599879386	OK	 
USER	Bank Load	272	END	1593599862536	1593599879386
REQUEST	462		Transaction	1593599871993	1593599879412	OK	 
REQUEST	733		Get Balance	1593599871754	1593599879430	OK	 
REQUEST	273		Create new account	1593599872027	1593599879439	OK	 
USER	Bank Load	273	END	1593599862557	1593599879440
REQUEST	734		Get Balance	1593599871775	1593599879459	OK	 
REQUEST	463		Transaction	1593599872030	1593599879485	OK	 
REQUEST	735		Get Balance	1593599871796	1593599879487	OK	 
REQUEST	736		Get Balance	1593599871817	1593599879507	OK	 
REQUEST	274		Create new account	1593599872043	1593599879508	OK	 
USER	Bank Load	274	END	1593599862573	1593599879508
REQUEST	275		Create new account	1593599872097	1593599879549	OK	 
USER	Bank Load	275	END	1593599862594	1593599879549
REQUEST	464		Transaction	1593599872064	1593599879556	OK	 
REQUEST	737		Get Balance	1593599871838	1593599879558	OK	 
REQUEST	276		Create new account	1593599872101	1593599879567	OK	 
USER	Bank Load	276	END	1593599862615	1593599879567
REQUEST	739		Get Balance	1593599871874	1593599879610	OK	 
REQUEST	738		Get Balance	1593599871853	1593599879613	OK	 
REQUEST	465		Transaction	1593599872098	1593599879625	OK	 
REQUEST	466		Transaction	1593599872131	1593599879642	OK	 
REQUEST	740		Get Balance	1593599871895	1593599879664	OK	 
REQUEST	467		Transaction	1593599872140	1593599879670	OK	 
REQUEST	277		Create new account	1593599872146	1593599879683	OK	 
USER	Bank Load	277	END	1593599862636	1593599879684
REQUEST	741		Get Balance	1593599871916	1593599879707	OK	 
REQUEST	278		Create new account	1593599872152	1593599879718	OK	 
USER	Bank Load	278	END	1593599862658	1593599879719
REQUEST	742		Get Balance	1593599871938	1593599879737	OK	 
REQUEST	468		Transaction	1593599872172	1593599879742	OK	 
REQUEST	743		Get Balance	1593599871954	1593599879779	OK	 
REQUEST	470		Transaction	1593599872197	1593599879793	OK	 
REQUEST	279		Create new account	1593599872202	1593599879793	OK	 
USER	Bank Load	279	END	1593599862673	1593599879794
REQUEST	469		Transaction	1593599872186	1593599879794	OK	 
REQUEST	471		Transaction	1593599872205	1593599879832	OK	 
REQUEST	745		Get Balance	1593599871994	1593599879838	OK	 
REQUEST	744		Get Balance	1593599871974	1593599879842	OK	 
REQUEST	472		Transaction	1593599872243	1593599879849	OK	 
REQUEST	746		Get Balance	1593599872016	1593599879864	OK	 
REQUEST	747		Get Balance	1593599872037	1593599879897	OK	 
REQUEST	280		Create new account	1593599872250	1593599879897	OK	 
USER	Bank Load	280	END	1593599862693	1593599879898
REQUEST	473		Transaction	1593599872275	1593599879914	OK	 
REQUEST	475		Transaction	1593599872299	1593599879949	OK	 
REQUEST	748		Get Balance	1593599872058	1593599879991	OK	 
REQUEST	281		Create new account	1593599872297	1593599880028	OK	 
REQUEST	474		Transaction	1593599872303	1593599880028	OK	 
USER	Bank Load	281	END	1593599862715	1593599880029
REQUEST	749		Get Balance	1593599872073	1593599880046	OK	 
REQUEST	476		Transaction	1593599872342	1593599880075	OK	 
REQUEST	750		Get Balance	1593599872094	1593599880079	OK	 
REQUEST	477		Transaction	1593599872352	1593599880104	OK	 
REQUEST	752		Get Balance	1593599872137	1593599880133	OK	 
REQUEST	282		Create new account	1593599872358	1593599880135	OK	 
USER	Bank Load	282	END	1593599862736	1593599880136
REQUEST	751		Get Balance	1593599872115	1593599880151	OK	 
REQUEST	283		Create new account	1593599872400	1593599880179	OK	 
USER	Bank Load	283	END	1593599862758	1593599880179
REQUEST	478		Transaction	1593599872395	1593599880211	OK	 
REQUEST	753		Get Balance	1593599872158	1593599880239	OK	 
REQUEST	479		Transaction	1593599872409	1593599880246	OK	 
REQUEST	754		Get Balance	1593599872173	1593599880265	OK	 
REQUEST	284		Create new account	1593599872424	1593599880274	OK	 
USER	Bank Load	284	END	1593599862774	1593599880275
REQUEST	756		Get Balance	1593599872213	1593599880301	OK	 
REQUEST	755		Get Balance	1593599872193	1593599880316	OK	 
REQUEST	285		Create new account	1593599872474	1593599880333	OK	 
USER	Bank Load	285	END	1593599862795	1593599880334
REQUEST	480		Transaction	1593599872457	1593599880341	OK	 
REQUEST	757		Get Balance	1593599872235	1593599880351	OK	 
REQUEST	286		Create new account	1593599872489	1593599880387	OK	 
USER	Bank Load	286	END	1593599862816	1593599880387
REQUEST	758		Get Balance	1593599872255	1593599880413	OK	 
REQUEST	287		Create new account	1593599872519	1593599880422	OK	 
USER	Bank Load	287	END	1593599862837	1593599880422
REQUEST	481		Transaction	1593599872495	1593599880431	OK	 
REQUEST	759		Get Balance	1593599872277	1593599880434	OK	 
REQUEST	482		Transaction	1593599872529	1593599880539	OK	 
REQUEST	760		Get Balance	1593599872298	1593599880543	OK	 
REQUEST	484		Transaction	1593599872552	1593599880580	OK	 
REQUEST	483		Transaction	1593599872552	1593599880591	OK	 
REQUEST	761		Get Balance	1593599872313	1593599880657	OK	 
REQUEST	762		Get Balance	1593599872333	1593599880709	OK	 
REQUEST	485		Transaction	1593599872572	1593599880711	OK	 
REQUEST	288		Create new account	1593599872583	1593599880729	OK	 
USER	Bank Load	288	END	1593599862858	1593599880730
REQUEST	763		Get Balance	1593599872357	1593599880794	OK	 
REQUEST	289		Create new account	1593599872592	1593599880817	OK	 
USER	Bank Load	289	END	1593599862878	1593599880817
REQUEST	290		Create new account	1593599872604	1593599880868	OK	 
USER	Bank Load	290	END	1593599862893	1593599880869
REQUEST	487		Transaction	1593599872627	1593599880911	OK	 
REQUEST	764		Get Balance	1593599872379	1593599880947	OK	 
REQUEST	765		Get Balance	1593599872393	1593599881058	OK	 
REQUEST	486		Transaction	1593599872636	1593599881112	OK	 
REQUEST	488		Transaction	1593599872641	1593599881145	OK	 
REQUEST	766		Get Balance	1593599872414	1593599881159	OK	 
REQUEST	291		Create new account	1593599872670	1593599881201	OK	 
USER	Bank Load	291	END	1593599862914	1593599881201
REQUEST	489		Transaction	1593599872671	1593599881216	OK	 
REQUEST	767		Get Balance	1593599872435	1593599881216	OK	 
REQUEST	292		Create new account	1593599872676	1593599881218	OK	 
USER	Bank Load	292	END	1593599862936	1593599881218
REQUEST	768		Get Balance	1593599872457	1593599881256	OK	 
REQUEST	769		Get Balance	1593599872477	1593599881355	OK	 
REQUEST	490		Transaction	1593599872712	1593599881380	OK	 
REQUEST	770		Get Balance	1593599872499	1593599881405	OK	 
REQUEST	491		Transaction	1593599872718	1593599881411	OK	 
REQUEST	294		Create new account	1593599872754	1593599881441	OK	 
USER	Bank Load	294	END	1593599862978	1593599881441
REQUEST	293		Create new account	1593599872744	1593599881500	OK	 
USER	Bank Load	293	END	1593599862957	1593599881501
REQUEST	771		Get Balance	1593599872514	1593599881501	OK	 
REQUEST	492		Transaction	1593599872755	1593599881510	OK	 
REQUEST	493		Transaction	1593599872780	1593599881572	OK	 
REQUEST	494		Transaction	1593599872791	1593599881650	OK	 
REQUEST	772		Get Balance	1593599872535	1593599881650	OK	 
REQUEST	495		Transaction	1593599872803	1593599881654	OK	 
REQUEST	295		Create new account	1593599872804	1593599881680	OK	 
USER	Bank Load	295	END	1593599862993	1593599881683
REQUEST	773		Get Balance	1593599872557	1593599881730	OK	 
REQUEST	774		Get Balance	1593599872578	1593599881754	OK	 
REQUEST	296		Create new account	1593599872833	1593599881771	OK	 
USER	Bank Load	296	END	1593599863014	1593599881772
REQUEST	775		Get Balance	1593599872593	1593599881843	OK	 
REQUEST	496		Transaction	1593599872844	1593599881963	OK	 
REQUEST	776		Get Balance	1593599872614	1593599881966	OK	 
REQUEST	497		Transaction	1593599872850	1593599881998	OK	 
REQUEST	498		Transaction	1593599872872	1593599882117	OK	 
REQUEST	778		Get Balance	1593599872657	1593599882128	OK	 
REQUEST	777		Get Balance	1593599872635	1593599882137	OK	 
REQUEST	499		Transaction	1593599872886	1593599882138	OK	 
REQUEST	298		Create new account	1593599872905	1593599882179	OK	 
USER	Bank Load	298	END	1593599863056	1593599882180
REQUEST	500		Transaction	1593599872911	1593599882189	OK	 
REQUEST	779		Get Balance	1593599872679	1593599882191	OK	 
REQUEST	501		Transaction	1593599872923	1593599882211	OK	 
REQUEST	502		Transaction	1593599872936	1593599882248	OK	 
REQUEST	297		Create new account	1593599872945	1593599882255	OK	 
REQUEST	780		Get Balance	1593599872693	1593599882255	OK	 
USER	Bank Load	297	END	1593599863035	1593599882256
REQUEST	782		Get Balance	1593599872735	1593599882299	OK	 
REQUEST	503		Transaction	1593599872954	1593599882305	OK	 
REQUEST	504		Transaction	1593599872975	1593599882317	OK	 
REQUEST	781		Get Balance	1593599872714	1593599882318	OK	 
REQUEST	783		Get Balance	1593599872756	1593599882350	OK	 
REQUEST	299		Create new account	1593599872997	1593599882350	OK	 
USER	Bank Load	299	END	1593599863077	1593599882351
REQUEST	784		Get Balance	1593599872777	1593599882362	OK	 
REQUEST	300		Create new account	1593599873009	1593599882378	OK	 
USER	Bank Load	300	END	1593599863093	1593599882379
REQUEST	505		Transaction	1593599873024	1593599882404	OK	 
REQUEST	785		Get Balance	1593599872799	1593599882404	OK	 
REQUEST	506		Transaction	1593599873051	1593599882420	OK	 
REQUEST	507		Transaction	1593599873052	1593599882435	OK	 
REQUEST	786		Get Balance	1593599872814	1593599882442	OK	 
REQUEST	301		Create new account	1593599873076	1593599882462	OK	 
USER	Bank Load	301	END	1593599863113	1593599882463
REQUEST	787		Get Balance	1593599872835	1593599882500	OK	 
REQUEST	302		Create new account	1593599873111	1593599882563	OK	 
USER	Bank Load	302	END	1593599863135	1593599882564
REQUEST	788		Get Balance	1593599872857	1593599882567	OK	 
REQUEST	508		Transaction	1593599873087	1593599882572	OK	 
REQUEST	509		Transaction	1593599873093	1593599882576	OK	 
REQUEST	510		Transaction	1593599873110	1593599882621	OK	 
REQUEST	789		Get Balance	1593599872878	1593599882627	OK	 
REQUEST	511		Transaction	1593599873128	1593599882629	OK	 
REQUEST	303		Create new account	1593599873135	1593599882631	OK	 
USER	Bank Load	303	END	1593599863156	1593599882631
REQUEST	790		Get Balance	1593599872899	1593599882686	OK	 
REQUEST	512		Transaction	1593599873155	1593599882724	OK	 
REQUEST	791		Get Balance	1593599872914	1593599882732	OK	 
REQUEST	513		Transaction	1593599873165	1593599882763	OK	 
REQUEST	304		Create new account	1593599873180	1593599882793	OK	 
USER	Bank Load	304	END	1593599863177	1593599882794
REQUEST	792		Get Balance	1593599872934	1593599882814	OK	 
REQUEST	514		Transaction	1593599873192	1593599882839	OK	 
REQUEST	793		Get Balance	1593599872954	1593599882868	OK	 
REQUEST	305		Create new account	1593599873232	1593599882922	OK	 
REQUEST	515		Transaction	1593599873217	1593599882922	OK	 
USER	Bank Load	305	END	1593599863198	1593599882922
REQUEST	794		Get Balance	1593599872975	1593599882933	OK	 
REQUEST	795		Get Balance	1593599872996	1593599882941	OK	 
REQUEST	796		Get Balance	1593599873017	1593599883021	OK	 
REQUEST	516		Transaction	1593599873248	1593599883029	OK	 
REQUEST	306		Create new account	1593599873245	1593599883029	OK	 
USER	Bank Load	306	END	1593599863213	1593599883030
REQUEST	517		Transaction	1593599873255	1593599883033	OK	 
REQUEST	307		Create new account	1593599873278	1593599883086	OK	 
USER	Bank Load	307	END	1593599863234	1593599883087
REQUEST	518		Transaction	1593599873287	1593599883102	OK	 
REQUEST	797		Get Balance	1593599873038	1593599883114	OK	 
REQUEST	519		Transaction	1593599873287	1593599883128	OK	 
REQUEST	308		Create new account	1593599873302	1593599883167	OK	 
USER	Bank Load	308	END	1593599863255	1593599883168
REQUEST	798		Get Balance	1593599873053	1593599883173	OK	 
REQUEST	520		Transaction	1593599873309	1593599883179	OK	 
REQUEST	309		Create new account	1593599873331	1593599883196	OK	 
USER	Bank Load	309	END	1593599863276	1593599883197
REQUEST	799		Get Balance	1593599873075	1593599883223	OK	 
REQUEST	800		Get Balance	1593599873095	1593599883231	OK	 
REQUEST	521		Transaction	1593599873335	1593599883239	OK	 
REQUEST	801		Get Balance	1593599873117	1593599883241	OK	 
REQUEST	522		Transaction	1593599873378	1593599883284	OK	 
REQUEST	802		Get Balance	1593599873138	1593599883297	OK	 
REQUEST	523		Transaction	1593599873379	1593599883301	OK	 
REQUEST	310		Create new account	1593599873390	1593599883309	OK	 
USER	Bank Load	310	END	1593599863297	1593599883309
REQUEST	803		Get Balance	1593599873153	1593599883334	OK	 
REQUEST	804		Get Balance	1593599873174	1593599883340	OK	 
REQUEST	524		Transaction	1593599873399	1593599883353	OK	 
REQUEST	525		Transaction	1593599873418	1593599883372	OK	 
REQUEST	805		Get Balance	1593599873195	1593599883390	OK	 
REQUEST	311		Create new account	1593599873442	1593599883391	OK	 
USER	Bank Load	311	END	1593599863318	1593599883392
REQUEST	527		Transaction	1593599873458	1593599883414	OK	 
REQUEST	526		Transaction	1593599873465	1593599883422	OK	 
REQUEST	806		Get Balance	1593599873216	1593599883447	OK	 
REQUEST	528		Transaction	1593599873484	1593599883447	OK	 
REQUEST	807		Get Balance	1593599873237	1593599883453	OK	 
REQUEST	312		Create new account	1593599873489	1593599883469	OK	 
USER	Bank Load	312	END	1593599863333	1593599883469
REQUEST	808		Get Balance	1593599873257	1593599883510	OK	 
REQUEST	529		Transaction	1593599873505	1593599883510	OK	 
REQUEST	314		Create new account	1593599873510	1593599883523	OK	 
USER	Bank Load	314	END	1593599863375	1593599883524
REQUEST	809		Get Balance	1593599873278	1593599883537	OK	 
REQUEST	313		Create new account	1593599873538	1593599883567	OK	 
USER	Bank Load	313	END	1593599863354	1593599883567
REQUEST	810		Get Balance	1593599873299	1593599883571	OK	 
REQUEST	530		Transaction	1593599873533	1593599883578	OK	 
REQUEST	811		Get Balance	1593599873314	1593599883591	OK	 
REQUEST	812		Get Balance	1593599873335	1593599883613	OK	 
REQUEST	531		Transaction	1593599873571	1593599883633	OK	 
REQUEST	315		Create new account	1593599873585	1593599883639	OK	 
USER	Bank Load	315	END	1593599863395	1593599883639
REQUEST	316		Create new account	1593599873591	1593599883649	OK	 
USER	Bank Load	316	END	1593599863416	1593599883650
REQUEST	532		Transaction	1593599873603	1593599883662	OK	 
REQUEST	813		Get Balance	1593599873357	1593599883668	OK	 
REQUEST	814		Get Balance	1593599873378	1593599883683	OK	 
REQUEST	317		Create new account	1593599873617	1593599883686	OK	 
USER	Bank Load	317	END	1593599863437	1593599883686
REQUEST	534		Transaction	1593599873632	1593599883705	OK	 
REQUEST	533		Transaction	1593599873640	1593599883712	OK	 
REQUEST	815		Get Balance	1593599873393	1593599883720	OK	 
REQUEST	535		Transaction	1593599873655	1593599883742	OK	 
REQUEST	816		Get Balance	1593599873414	1593599883746	OK	 
REQUEST	817		Get Balance	1593599873435	1593599883762	OK	 
REQUEST	536		Transaction	1593599873681	1593599883786	OK	 
REQUEST	818		Get Balance	1593599873456	1593599883816	OK	 
REQUEST	318		Create new account	1593599873688	1593599883845	OK	 
USER	Bank Load	318	END	1593599863458	1593599883845
REQUEST	319		Create new account	1593599873716	1593599883854	OK	 
USER	Bank Load	319	END	1593599863473	1593599883855
REQUEST	819		Get Balance	1593599873476	1593599883889	OK	 
REQUEST	820		Get Balance	1593599873498	1593599883950	OK	 
REQUEST	537		Transaction	1593599873734	1593599883955	OK	 
REQUEST	538		Transaction	1593599873737	1593599883965	OK	 
REQUEST	539		Transaction	1593599873753	1593599883992	OK	 
REQUEST	821		Get Balance	1593599873513	1593599884002	OK	 
REQUEST	822		Get Balance	1593599873535	1593599884010	OK	 
REQUEST	540		Transaction	1593599873773	1593599884023	OK	 
REQUEST	320		Create new account	1593599873799	1593599884040	OK	 
USER	Bank Load	320	END	1593599863494	1593599884040
REQUEST	321		Create new account	1593599873805	1593599884075	OK	 
USER	Bank Load	321	END	1593599863515	1593599884076
REQUEST	541		Transaction	1593599873803	1593599884082	OK	 
REQUEST	824		Get Balance	1593599873577	1593599884085	OK	 
REQUEST	823		Get Balance	1593599873556	1593599884115	OK	 
REQUEST	825		Get Balance	1593599873599	1593599884137	OK	 
REQUEST	323		Create new account	1593599873828	1593599884137	OK	 
USER	Bank Load	323	END	1593599863526	1593599884138
REQUEST	543		Transaction	1593599873855	1593599884153	OK	 
REQUEST	826		Get Balance	1593599873614	1593599884171	OK	 
REQUEST	542		Transaction	1593599873869	1593599884196	OK	 
REQUEST	827		Get Balance	1593599873635	1593599884199	OK	 
REQUEST	828		Get Balance	1593599873655	1593599884204	OK	 
REQUEST	829		Get Balance	1593599873676	1593599884233	OK	 
REQUEST	322		Create new account	1593599873932	1593599884258	OK	 
USER	Bank Load	322	END	1593599863537	1593599884258
REQUEST	831		Get Balance	1593599873718	1593599884276	OK	 
REQUEST	324		Create new account	1593599873926	1593599884284	OK	 
USER	Bank Load	324	END	1593599863563	1593599884284
REQUEST	544		Transaction	1593599873923	1593599884289	OK	 
REQUEST	830		Get Balance	1593599873697	1593599884310	OK	 
REQUEST	832		Get Balance	1593599873733	1593599884317	OK	 
REQUEST	833		Get Balance	1593599873754	1593599884336	OK	 
REQUEST	545		Transaction	1593599873991	1593599884338	OK	 
REQUEST	325		Create new account	1593599874018	1593599884359	OK	 
USER	Bank Load	325	END	1593599863583	1593599884359
REQUEST	834		Get Balance	1593599873776	1593599884373	OK	 
REQUEST	835		Get Balance	1593599873796	1593599884383	OK	 
REQUEST	546		Transaction	1593599874064	1593599884399	OK	 
REQUEST	836		Get Balance	1593599873817	1593599884402	OK	 
REQUEST	547		Transaction	1593599874083	1593599884425	OK	 
REQUEST	837		Get Balance	1593599873838	1593599884438	OK	 
REQUEST	838		Get Balance	1593599873856	1593599884461	OK	 
REQUEST	839		Get Balance	1593599873878	1593599884467	OK	 
REQUEST	327		Create new account	1593599874122	1593599884474	OK	 
USER	Bank Load	327	END	1593599863625	1593599884475
REQUEST	326		Create new account	1593599874135	1593599884485	OK	 
USER	Bank Load	326	END	1593599863604	1593599884486
REQUEST	841		Get Balance	1593599873913	1593599884502	OK	 
REQUEST	840		Get Balance	1593599873899	1593599884510	OK	 
REQUEST	548		Transaction	1593599874170	1593599884522	OK	 
REQUEST	328		Create new account	1593599874171	1593599884535	OK	 
USER	Bank Load	328	END	1593599863645	1593599884535
REQUEST	842		Get Balance	1593599873935	1593599884545	OK	 
REQUEST	549		Transaction	1593599874189	1593599884554	OK	 
REQUEST	550		Transaction	1593599874191	1593599884576	OK	 
REQUEST	843		Get Balance	1593599873955	1593599884589	OK	 
REQUEST	551		Transaction	1593599874211	1593599884591	OK	 
REQUEST	844		Get Balance	1593599873976	1593599884593	OK	 
REQUEST	845		Get Balance	1593599873998	1593599884614	OK	 
REQUEST	331		Create new account	1593599874255	1593599884636	OK	 
USER	Bank Load	331	END	1593599863703	1593599884636
REQUEST	846		Get Balance	1593599874013	1593599884644	OK	 
REQUEST	552		Transaction	1593599874242	1593599884654	OK	 
REQUEST	553		Transaction	1593599874256	1593599884664	OK	 
REQUEST	847		Get Balance	1593599874035	1593599884672	OK	 
REQUEST	329		Create new account	1593599874285	1593599884685	OK	 
USER	Bank Load	329	END	1593599863666	1593599884686
REQUEST	554		Transaction	1593599874292	1593599884699	OK	 
REQUEST	848		Get Balance	1593599874056	1593599884701	OK	 
REQUEST	849		Get Balance	1593599874077	1593599884718	OK	 
REQUEST	555		Transaction	1593599874313	1593599884724	OK	 
REQUEST	850		Get Balance	1593599874098	1593599884733	OK	 
REQUEST	330		Create new account	1593599874347	1593599884745	OK	 
USER	Bank Load	330	END	1593599863688	1593599884746
REQUEST	333		Create new account	1593599874353	1593599884768	OK	 
USER	Bank Load	333	END	1593599863745	1593599884768
REQUEST	332		Create new account	1593599874354	1593599884774	OK	 
USER	Bank Load	332	END	1593599863724	1593599884775
REQUEST	851		Get Balance	1593599874114	1593599884781	OK	 
REQUEST	556		Transaction	1593599874359	1593599884789	OK	 
REQUEST	852		Get Balance	1593599874134	1593599884805	OK	 
REQUEST	557		Transaction	1593599874394	1593599884821	OK	 
REQUEST	853		Get Balance	1593599874155	1593599884821	OK	 
REQUEST	334		Create new account	1593599874412	1593599884831	OK	 
USER	Bank Load	334	END	1593599863766	1593599884832
REQUEST	854		Get Balance	1593599874176	1593599884836	OK	 
REQUEST	558		Transaction	1593599874427	1593599884865	OK	 
REQUEST	559		Transaction	1593599874439	1593599884865	OK	 
REQUEST	855		Get Balance	1593599874197	1593599884870	OK	 
REQUEST	560		Transaction	1593599874461	1593599884880	OK	 
REQUEST	856		Get Balance	1593599874218	1593599884915	OK	 
REQUEST	857		Get Balance	1593599874233	1593599884923	OK	 
REQUEST	336		Create new account	1593599874464	1593599884926	OK	 
USER	Bank Load	336	END	1593599863803	1593599884927
REQUEST	561		Transaction	1593599874477	1593599884948	OK	 
REQUEST	335		Create new account	1593599874487	1593599884961	OK	 
