RUN	bank.BalanceSimulation	balancesimulation	1593599353025	 	3.3.1
USER	Balance	23	END	1593599359502	1593599359906
REQUEST	26		Get Balance	1593599359514	1593599359907	OK	 
USER	Balance	146	START	1593599359908	1593599359908
USER	Balance	26	END	1593599359513	1593599359908
USER	Balance	147	START	1593599359908	1593599359908
USER	Balance	145	START	1593599359908	1593599359908
USER	Balance	149	START	1593599359919	1593599359919
USER	Balance	150	START	1593599359919	1593599359919
USER	Balance	148	START	1593599359919	1593599359919
REQUEST	21		Get Balance	1593599359493	1593599359925	OK	 
USER	Balance	21	END	1593599359492	1593599359926
USER	Balance	153	START	1593599359930	1593599359930
USER	Balance	151	START	1593599359930	1593599359930
USER	Balance	152	START	1593599359930	1593599359930
USER	Balance	156	START	1593599359940	1593599359940
USER	Balance	154	START	1593599359940	1593599359940
USER	Balance	155	START	1593599359940	1593599359940
USER	Balance	158	START	1593599359950	1593599359950
USER	Balance	157	START	1593599359950	1593599359950
USER	Balance	159	START	1593599359950	1593599359950
REQUEST	24		Get Balance	1593599359503	1593599359958	OK	 
USER	Balance	24	END	1593599359502	1593599359959
USER	Balance	162	START	1593599359961	1593599359961
USER	Balance	160	START	1593599359961	1593599359961
USER	Balance	161	START	1593599359961	1593599359961
USER	Balance	163	START	1593599359972	1593599359972
USER	Balance	164	START	1593599359972	1593599359972
USER	Balance	165	START	1593599359972	1593599359972
REQUEST	25		Get Balance	1593599359516	1593599359974	OK	 
USER	Balance	25	END	1593599359513	1593599359975
USER	Balance	167	START	1593599359983	1593599359983
USER	Balance	166	START	1593599359983	1593599359983
USER	Balance	168	START	1593599359983	1593599359983
USER	Balance	171	START	1593599359993	1593599359993
USER	Balance	170	START	1593599359993	1593599359993
USER	Balance	169	START	1593599359993	1593599359993
REQUEST	22		Get Balance	1593599359504	1593599359994	OK	 
USER	Balance	22	END	1593599359502	1593599360007
USER	Balance	172	START	1593599360007	1593599360007
USER	Balance	173	START	1593599360007	1593599360007
USER	Balance	174	START	1593599360007	1593599360007
USER	Balance	176	START	1593599360008	1593599360008
USER	Balance	175	START	1593599360008	1593599360008
USER	Balance	177	START	1593599360008	1593599360008
USER	Balance	180	START	1593599360019	1593599360019
USER	Balance	179	START	1593599360019	1593599360019
USER	Balance	178	START	1593599360019	1593599360019
REQUEST	27		Get Balance	1593599359515	1593599360028	OK	 
USER	Balance	27	END	1593599359513	1593599360029
USER	Balance	183	START	1593599360029	1593599360029
USER	Balance	182	START	1593599360029	1593599360029
USER	Balance	181	START	1593599360029	1593599360029
USER	Balance	184	START	1593599360040	1593599360040
USER	Balance	186	START	1593599360040	1593599360040
USER	Balance	185	START	1593599360040	1593599360040
USER	Balance	187	START	1593599360051	1593599360051
USER	Balance	189	START	1593599360051	1593599360051
USER	Balance	188	START	1593599360051	1593599360051
USER	Balance	190	START	1593599360062	1593599360062
USER	Balance	191	START	1593599360062	1593599360062
USER	Balance	192	START	1593599360062	1593599360062
USER	Balance	195	START	1593599360073	1593599360073
USER	Balance	194	START	1593599360073	1593599360073
USER	Balance	193	START	1593599360073	1593599360073
USER	Balance	197	START	1593599360083	1593599360083
USER	Balance	198	START	1593599360083	1593599360083
REQUEST	32		Get Balance	1593599359529	1593599360088	OK	 
USER	Balance	32	END	1593599359528	1593599360100
USER	Balance	201	START	1593599360100	1593599360100
USER	Balance	202	START	1593599360101	1593599360101
USER	Balance	204	START	1593599360101	1593599360101
USER	Balance	203	START	1593599360101	1593599360101
REQUEST	29		Get Balance	1593599359525	1593599360102	OK	 
USER	Balance	196	START	1593599360083	1593599360083
USER	Balance	29	END	1593599359524	1593599360118
USER	Balance	205	START	1593599360118	1593599360118
USER	Balance	207	START	1593599360118	1593599360118
USER	Balance	206	START	1593599360118	1593599360118
USER	Balance	199	START	1593599360088	1593599360088
USER	Balance	200	START	1593599360088	1593599360088
USER	Balance	208	START	1593599360119	1593599360119
REQUEST	33		Get Balance	1593599359530	1593599360119	OK	 
USER	Balance	209	START	1593599360119	1593599360119
USER	Balance	210	START	1593599360120	1593599360120
USER	Balance	33	END	1593599359528	1593599360120
USER	Balance	212	START	1593599360130	1593599360130
USER	Balance	213	START	1593599360130	1593599360130
USER	Balance	211	START	1593599360130	1593599360130
USER	Balance	216	START	1593599360140	1593599360140
USER	Balance	215	START	1593599360140	1593599360140
USER	Balance	214	START	1593599360140	1593599360140
USER	Balance	217	START	1593599360150	1593599360150
USER	Balance	218	START	1593599360150	1593599360150
USER	Balance	219	START	1593599360150	1593599360150
REQUEST	28		Get Balance	1593599359525	1593599360156	OK	 
USER	Balance	28	END	1593599359524	1593599360157
REQUEST	31		Get Balance	1593599359529	1593599360161	OK	 
USER	Balance	221	START	1593599360161	1593599360161
USER	Balance	222	START	1593599360161	1593599360161
USER	Balance	220	START	1593599360161	1593599360161
USER	Balance	31	END	1593599359528	1593599360162
REQUEST	36		Get Balance	1593599359540	1593599360169	OK	 
USER	Balance	36	END	1593599359539	1593599360170
USER	Balance	224	START	1593599360172	1593599360172
USER	Balance	223	START	1593599360172	1593599360172
USER	Balance	225	START	1593599360172	1593599360172
USER	Balance	227	START	1593599360182	1593599360182
USER	Balance	228	START	1593599360183	1593599360183
USER	Balance	226	START	1593599360182	1593599360182
USER	Balance	229	START	1593599360193	1593599360193
USER	Balance	230	START	1593599360193	1593599360193
USER	Balance	231	START	1593599360193	1593599360193
USER	Balance	232	START	1593599360198	1593599360198
USER	Balance	233	START	1593599360198	1593599360198
USER	Balance	234	START	1593599360198	1593599360198
REQUEST	30		Get Balance	1593599359525	1593599360199	OK	 
USER	Balance	30	END	1593599359524	1593599360200
USER	Balance	235	START	1593599360209	1593599360209
USER	Balance	236	START	1593599360209	1593599360209
USER	Balance	237	START	1593599360209	1593599360209
USER	Balance	239	START	1593599360219	1593599360219
USER	Balance	240	START	1593599360219	1593599360219
USER	Balance	238	START	1593599360219	1593599360219
USER	Balance	243	START	1593599360230	1593599360230
USER	Balance	242	START	1593599360230	1593599360230
USER	Balance	241	START	1593599360230	1593599360230
REQUEST	35		Get Balance	1593599359540	1593599360239	OK	 
USER	Balance	35	END	1593599359539	1593599360240
USER	Balance	246	START	1593599360241	1593599360241
USER	Balance	244	START	1593599360241	1593599360241
USER	Balance	245	START	1593599360241	1593599360241
USER	Balance	249	START	1593599360251	1593599360251
USER	Balance	247	START	1593599360251	1593599360251
USER	Balance	248	START	1593599360251	1593599360251
USER	Balance	252	START	1593599360262	1593599360262
USER	Balance	250	START	1593599360262	1593599360262
USER	Balance	251	START	1593599360262	1593599360262
USER	Balance	253	START	1593599360272	1593599360272
USER	Balance	255	START	1593599360272	1593599360272
USER	Balance	254	START	1593599360272	1593599360272
USER	Balance	258	START	1593599360283	1593599360283
USER	Balance	257	START	1593599360283	1593599360283
USER	Balance	256	START	1593599360283	1593599360283
REQUEST	34		Get Balance	1593599359540	1593599360289	OK	 
USER	Balance	34	END	1593599359538	1593599360290
REQUEST	37		Get Balance	1593599359550	1593599360294	OK	 
USER	Balance	259	START	1593599360294	1593599360294
USER	Balance	261	START	1593599360294	1593599360294
USER	Balance	260	START	1593599360294	1593599360294
USER	Balance	37	END	1593599359549	1593599360295
USER	Balance	264	START	1593599360298	1593599360298
USER	Balance	262	START	1593599360298	1593599360298
USER	Balance	263	START	1593599360298	1593599360298
USER	Balance	267	START	1593599360309	1593599360309
USER	Balance	270	START	1593599360320	1593599360320
USER	Balance	268	START	1593599360320	1593599360320
USER	Balance	269	START	1593599360320	1593599360320
REQUEST	40		Get Balance	1593599359562	1593599360323	OK	 
USER	Balance	40	END	1593599359560	1593599360326
USER	Balance	273	START	1593599360331	1593599360331
USER	Balance	271	START	1593599360331	1593599360331
USER	Balance	276	START	1593599360342	1593599360342
USER	Balance	278	START	1593599360352	1593599360352
USER	Balance	279	START	1593599360352	1593599360352
USER	Balance	277	START	1593599360352	1593599360352
USER	Balance	266	START	1593599360309	1593599360309
USER	Balance	281	START	1593599360363	1593599360363
USER	Balance	280	START	1593599360363	1593599360363
USER	Balance	282	START	1593599360363	1593599360363
USER	Balance	272	START	1593599360331	1593599360331
USER	Balance	285	START	1593599360373	1593599360373
USER	Balance	284	START	1593599360373	1593599360373
USER	Balance	283	START	1593599360373	1593599360373
USER	Balance	287	START	1593599360378	1593599360378
USER	Balance	286	START	1593599360378	1593599360378
USER	Balance	290	START	1593599360388	1593599360388
USER	Balance	291	START	1593599360388	1593599360388
USER	Balance	289	START	1593599360388	1593599360388
USER	Balance	265	START	1593599360309	1593599360309
REQUEST	41		Get Balance	1593599359561	1593599360391	OK	 
USER	Balance	41	END	1593599359560	1593599360392
USER	Balance	292	START	1593599360399	1593599360399
USER	Balance	293	START	1593599360399	1593599360399
REQUEST	45		Get Balance	1593599359572	1593599360403	OK	 
REQUEST	38		Get Balance	1593599359551	1593599360408	OK	 
USER	Balance	45	END	1593599359571	1593599360408
USER	Balance	288	START	1593599360378	1593599360378
USER	Balance	38	END	1593599359549	1593599360409
USER	Balance	295	START	1593599360410	1593599360410
USER	Balance	297	START	1593599360410	1593599360410
USER	Balance	296	START	1593599360410	1593599360410
USER	Balance	300	START	1593599360421	1593599360421
USER	Balance	298	START	1593599360421	1593599360421
USER	Balance	299	START	1593599360421	1593599360421
REQUEST	42		Get Balance	1593599359562	1593599360422	OK	 
USER	Balance	42	END	1593599359560	1593599360423
USER	Balance	274	START	1593599360342	1593599360342
USER	Balance	275	START	1593599360342	1593599360342
USER	Balance	301	START	1593599360431	1593599360431
USER	Balance	302	START	1593599360431	1593599360431
USER	Balance	303	START	1593599360431	1593599360431
USER	Balance	294	START	1593599360399	1593599360399
USER	Balance	304	START	1593599360442	1593599360442
USER	Balance	306	START	1593599360442	1593599360442
USER	Balance	305	START	1593599360442	1593599360442
USER	Balance	308	START	1593599360453	1593599360453
USER	Balance	307	START	1593599360453	1593599360453
USER	Balance	309	START	1593599360453	1593599360453
REQUEST	44		Get Balance	1593599359572	1593599360459	OK	 
USER	Balance	44	END	1593599359571	1593599360460
USER	Balance	312	START	1593599360464	1593599360464
USER	Balance	310	START	1593599360464	1593599360464
USER	Balance	311	START	1593599360464	1593599360464
USER	Balance	313	START	1593599360475	1593599360475
REQUEST	46		Get Balance	1593599359582	1593599360475	OK	 
USER	Balance	315	START	1593599360475	1593599360475
USER	Balance	314	START	1593599360475	1593599360475
USER	Balance	46	END	1593599359581	1593599360476
USER	Balance	317	START	1593599360478	1593599360478
USER	Balance	318	START	1593599360478	1593599360478
USER	Balance	316	START	1593599360478	1593599360478
REQUEST	47		Get Balance	1593599359582	1593599360478	OK	 
USER	Balance	47	END	1593599359581	1593599360479
USER	Balance	319	START	1593599360489	1593599360489
USER	Balance	320	START	1593599360489	1593599360489
USER	Balance	321	START	1593599360489	1593599360489
USER	Balance	322	START	1593599360500	1593599360500
USER	Balance	324	START	1593599360500	1593599360500
USER	Balance	323	START	1593599360500	1593599360500
USER	Balance	326	START	1593599360510	1593599360510
USER	Balance	327	START	1593599360510	1593599360510
USER	Balance	325	START	1593599360510	1593599360510
REQUEST	43		Get Balance	1593599359573	1593599360517	OK	 
USER	Balance	43	END	1593599359571	1593599360518
USER	Balance	329	START	1593599360521	1593599360521
USER	Balance	328	START	1593599360521	1593599360521
USER	Balance	330	START	1593599360521	1593599360521
USER	Balance	331	START	1593599360532	1593599360532
USER	Balance	332	START	1593599360532	1593599360532
REQUEST	50		Get Balance	1593599359593	1593599360535	OK	 
USER	Balance	50	END	1593599359592	1593599360536
USER	Balance	333	START	1593599360543	1593599360543
USER	Balance	334	START	1593599360543	1593599360543
USER	Balance	335	START	1593599360544	1593599360544
REQUEST	39		Get Balance	1593599359551	1593599360546	OK	 
USER	Balance	39	END	1593599359549	1593599360547
USER	Balance	337	START	1593599360548	1593599360548
USER	Balance	338	START	1593599360548	1593599360548
USER	Balance	336	START	1593599360548	1593599360548
REQUEST	51		Get Balance	1593599359594	1593599360558	OK	 
USER	Balance	341	START	1593599360558	1593599360558
USER	Balance	340	START	1593599360558	1593599360558
USER	Balance	339	START	1593599360558	1593599360558
USER	Balance	51	END	1593599359592	1593599360559
USER	Balance	343	START	1593599360569	1593599360569
USER	Balance	344	START	1593599360569	1593599360569
USER	Balance	342	START	1593599360569	1593599360569
REQUEST	49		Get Balance	1593599359594	1593599360570	OK	 
USER	Balance	49	END	1593599359592	1593599360571
USER	Balance	346	START	1593599360579	1593599360579
USER	Balance	347	START	1593599360579	1593599360579
USER	Balance	345	START	1593599360579	1593599360579
REQUEST	52		Get Balance	1593599359604	1593599360587	OK	 
USER	Balance	52	END	1593599359603	1593599360588
REQUEST	48		Get Balance	1593599359583	1593599360589	OK	 
USER	Balance	48	END	1593599359581	1593599360589
USER	Balance	350	START	1593599360590	1593599360590
USER	Balance	348	START	1593599360590	1593599360590
USER	Balance	349	START	1593599360590	1593599360590
USER	Balance	352	START	1593599360601	1593599360601
USER	Balance	351	START	1593599360601	1593599360601
USER	Balance	353	START	1593599360601	1593599360601
REQUEST	54		Get Balance	1593599359605	1593599360604	OK	 
USER	Balance	54	END	1593599359603	1593599360605
REQUEST	53		Get Balance	1593599359604	1593599360606	OK	 
USER	Balance	53	END	1593599359603	1593599360606
USER	Balance	356	START	1593599360612	1593599360612
USER	Balance	355	START	1593599360612	1593599360612
USER	Balance	354	START	1593599360612	1593599360612
USER	Balance	359	START	1593599360622	1593599360622
USER	Balance	357	START	1593599360622	1593599360622
USER	Balance	358	START	1593599360622	1593599360622
REQUEST	59		Get Balance	1593599359619	1593599360630	OK	 
USER	Balance	59	END	1593599359618	1593599360631
USER	Balance	360	START	1593599360633	1593599360633
USER	Balance	361	START	1593599360633	1593599360633
USER	Balance	362	START	1593599360633	1593599360633
REQUEST	57		Get Balance	1593599359615	1593599360644	OK	 
USER	Balance	363	START	1593599360644	1593599360644
USER	Balance	365	START	1593599360645	1593599360645
USER	Balance	364	START	1593599360645	1593599360645
USER	Balance	57	END	1593599359614	1593599360645
USER	Balance	367	START	1593599360648	1593599360648
USER	Balance	366	START	1593599360648	1593599360648
USER	Balance	368	START	1593599360648	1593599360648
USER	Balance	370	START	1593599360658	1593599360658
USER	Balance	371	START	1593599360658	1593599360658
USER	Balance	369	START	1593599360658	1593599360658
USER	Balance	372	START	1593599360669	1593599360669
USER	Balance	373	START	1593599360669	1593599360669
USER	Balance	374	START	1593599360669	1593599360669
REQUEST	60		Get Balance	1593599359619	1593599360679	OK	 
USER	Balance	377	START	1593599360680	1593599360680
USER	Balance	376	START	1593599360680	1593599360680
USER	Balance	375	START	1593599360680	1593599360680
USER	Balance	60	END	1593599359618	1593599360680
USER	Balance	379	START	1593599360691	1593599360691
USER	Balance	380	START	1593599360691	1593599360691
USER	Balance	378	START	1593599360691	1593599360691
REQUEST	58		Get Balance	1593599359620	1593599360699	OK	 
USER	Balance	58	END	1593599359618	1593599360700
USER	Balance	382	START	1593599360701	1593599360701
USER	Balance	383	START	1593599360701	1593599360701
USER	Balance	381	START	1593599360701	1593599360701
USER	Balance	386	START	1593599360712	1593599360712
USER	Balance	385	START	1593599360712	1593599360712
USER	Balance	384	START	1593599360712	1593599360712
REQUEST	55		Get Balance	1593599359614	1593599360716	OK	 
USER	Balance	55	END	1593599359614	1593599360717
USER	Balance	387	START	1593599360723	1593599360723
USER	Balance	389	START	1593599360723	1593599360723
USER	Balance	388	START	1593599360723	1593599360723
REQUEST	56		Get Balance	1593599359615	1593599360731	OK	 
USER	Balance	56	END	1593599359614	1593599360732
